cod,nomes
110001,ALTA FLORESTA D'OESTE
110002,ARIQUEMES
110003,CABIXI
110004,CACOAL
110005,CEREJEIRAS
110006,COLORADO DO OESTE
110007,CORUMBIARA
110008,COSTA MARQUES
110009,ESPIGAO D'OESTE
110010,GUAJARA-MIRIM
110011,JARU
110012,JI-PARANA
110013,MACHADINHO D'OESTE
110014,NOVA BRASILANDIA D'OESTE
110015,OURO PRETO DO OESTE
110018,PIMENTA BUENO
110020,PORTO VELHO
110025,PRESIDENTE MEDICI
110026,RIO CRESPO
110028,ROLIM DE MOURA
110029,SANTA LUZIA D'OESTE
110030,VILHENA
110032,SAO MIGUEL DO GUAPORE
110033,NOVA MAMORE
110034,ALVORADA D'OESTE
110037,ALTO ALEGRE DOS PARECIS
110040,ALTO PARAISO
110045,BURITIS
110050,NOVO HORIZONTE DO OESTE
110060,CACAULANDIA
110070,CAMPO NOVO DE RONDONIA
110080,CANDEIAS DO JAMARI
110090,CASTANHEIRAS
110092,CHUPINGUAIA
110094,CUJUBIM
110100,GOVERNADOR JORGE TEIXEIRA
110110,ITAPUA DO OESTE
110120,MINISTRO ANDREAZZA
110130,MIRANTE DA SERRA
110140,MONTE NEGRO
110143,NOVA UNIAO
110145,PARECIS
110146,PIMENTEIRAS DO OESTE
110147,PRIMAVERA DE RONDONIA
110148,SAO FELIPE D'OESTE
110149,SAO FRANCISCO DO GUAPORE
110150,SERINGUEIRAS
110155,TEIXEIROPOLIS
110160,THEOBROMA
110170,URUPA
110175,VALE DO ANARI
110180,VALE DO PARAISO
120001,ACRELANDIA
120005,ASSIS BRASIL
120010,BRASILEIA
120013,BUJARI
120017,CAPIXABA
120020,CRUZEIRO DO SUL
120025,EPITACIOLANDIA
120030,FEIJO
120032,JORDAO
120033,MANCIO LIMA
120034,MANOEL URBANO
120035,MARECHAL THAUMATURGO
120038,PLACIDO DE CASTRO
120039,PORTO WALTER
120040,RIO BRANCO
120042,RODRIGUES ALVES
120043,SANTA ROSA DO PURUS
120045,SENADOR GUIOMARD
120050,SENA MADUREIRA
120060,TARAUACA
120070,XAPURI
120080,PORTO ACRE
130002,ALVARAES
130006,AMATURA
130008,ANAMA
130010,ANORI
130014,APUI
130020,ATALAIA DO NORTE
130030,AUTAZES
130040,BARCELOS
130050,BARREIRINHA
130060,BENJAMIN CONSTANT
130063,BERURI
130068,BOA VISTA DO RAMOS
130070,BOCA DO ACRE
130080,BORBA
130083,CAAPIRANGA
130090,CANUTAMA
130100,CARAUARI
130110,CAREIRO
130115,CAREIRO DA VARZEA
130120,COARI
130130,CODAJAS
130140,EIRUNEPE
130150,ENVIRA
130160,FONTE BOA
130165,GUAJARA
130170,HUMAITA
130180,IPIXUNA
130185,IRANDUBA
130190,ITACOATIARA
130195,ITAMARATI
130200,ITAPIRANGA
130210,JAPURA
130220,JURUA
130230,JUTAI
130240,LABREA
130250,MANACAPURU
130255,MANAQUIRI
130260,MANAUS
130270,MANICORE
130280,MARAA
130290,MAUES
130300,NHAMUNDA
130310,NOVA OLINDA DO NORTE
130320,NOVO AIRAO
130330,NOVO ARIPUANA
130340,PARINTINS
130350,PAUINI
130353,PRESIDENTE FIGUEIREDO
130356,RIO PRETO DA EVA
130360,SANTA ISABEL DO RIO NEGRO
130370,SANTO ANTONIO DO ICA
130380,SAO GABRIEL DA CACHOEIRA
130390,SAO PAULO DE OLIVENCA
130395,SAO SEBASTIAO DO UATUMA
130400,SILVES
130406,TABATINGA
130410,TAPAUA
130420,TEFE
130423,TONANTINS
130426,UARINI
130430,URUCARA
130440,URUCURITUBA
140002,AMAJARI
140005,ALTO ALEGRE
140010,BOA VISTA
140015,BONFIM
140017,CANTA
